date,net_value
2013-09-18,1.4158
2013-09-27,1.4168
2013-09-30,1.4168
2013-10-11,1.4167
2013-10-18,1.4104
2013-10-21,0.0308
2013-10-22,0.0469
2013-10-23,0.5055
2013-10-24,0.6577
2013-10-25,1.4119
2013-10-28,0.5873
2013-10-29,1.1678
2013-10-30,1.1039
2013-10-31,1.318
2013-11-01,1.3425
2013-11-04,1.0604
2013-11-05,1.1471
2013-11-06,1.2175
2013-11-07,1.235
2013-11-08,1.2567
2013-11-11,1.1516
2013-11-12,0.9617
2013-11-13,1.053
2013-11-14,1.0511
2013-11-15,1.1078
2013-11-18,0.9276
2013-11-19,1.0256
2013-11-20,1.2804
2013-11-21,1.2482
2013-11-22,1.3069
2013-11-25,1.2524
2013-11-26,1.2524
2013-11-27,1.2329
2013-11-28,1.1863
2013-11-29,1.2607
2013-12-02,1.0215
2013-12-03,1.0731
2013-12-04,1.1241
2013-12-05,1.1322
2013-12-06,1.1713
2013-12-09,1.0552
2013-12-10,1.1395
2013-12-11,1.1284
2013-12-12,1.2981
2013-12-13,1.1737
2013-12-16,1.3487
2013-12-17,1.3419
2013-12-18,1.0482
2013-12-19,1.3465
2013-12-20,1.3918
2013-12-23,1.2642
2013-12-24,1.5931
2013-12-25,1.0667
2013-12-26,1.5514
2013-12-27,1.5393
2013-12-30,1.5472
2013-12-31,1.6078
2014-01-02,1.6125
2014-01-03,1.2718
2014-01-06,0.9237
2014-01-07,0.9344
2014-01-08,1.3345
2014-01-09,1.2606
2014-01-10,1.331
2014-01-13,0.9927
2014-01-14,1.012
2014-01-15,1.0485
2014-01-16,1.124
2014-01-17,1.1588
2014-01-20,1.0946
2014-01-21,4.2482
2014-01-22,2.4401
2014-01-23,1.1312
2014-01-24,6.6657
2014-01-27,1.1639
2014-01-28,1.075
2014-01-29,1.1948
2014-01-30,0.9658
2014-02-07,1.2138
2014-02-10,1.1473
2014-02-11,1.0842
2014-02-12,3.8533
2014-02-13,1.2499
2014-02-14,1.736
2014-02-17,3.3769
2014-02-18,1.0695
2014-02-19,1.0612
2014-02-20,5.0238
2014-02-21,0.3931
2014-02-24,0.4436
2014-02-25,0.4439
2014-02-26,0.5939
2014-02-27,2.4915
2014-02-28,0.6761
2014-03-03,1.3698
2014-03-04,1.5162
2014-03-05,0.745
2014-03-06,3.272
2014-03-07,3.2469
2014-03-10,3.1
2014-03-11,0.9004
2014-03-12,0.8807
2014-03-13,2.1896
2014-03-14,2.2764
2014-03-17,2.3833
2014-03-18,0.8375
2014-03-19,1.3032
2014-03-20,1.3694
2014-03-21,2.4059
2014-03-24,4.1558
2014-03-25,0.9255
2014-03-26,1.5664
2014-03-27,0.8991
2014-03-28,2.4031
2014-03-31,0.9306
2014-04-01,0.9603
2014-04-02,3.849
2014-04-03,0.7165
2014-04-04,3.3139
2014-04-08,1.4918
2014-04-09,0.8629
2014-04-10,1.349
2014-04-11,1.9634
2014-04-14,1.4376
2014-04-15,1.4895
2014-04-16,1.5543
2014-04-17,1.763
2014-04-18,1.6064
2014-04-21,0.993
2014-04-22,1.2824
2014-04-23,1.7045
2014-04-24,1.7505
2014-04-25,1.3378
2014-04-28,1.561
2014-04-29,1.203
2014-04-30,1.7434
2014-05-05,1.7882
2014-05-06,1.3534
2014-05-07,1.5583
2014-05-08,1.7442
2014-05-09,0.9764
2014-05-12,1.373
2014-05-13,0.96
2014-05-14,1.9342
2014-05-15,1.7407
2014-05-16,0.9596
2014-05-19,1.436
2014-05-20,0.9659
2014-05-21,1.7226
2014-05-22,1.3149
2014-05-23,1.5263
2014-05-26,0.9941
2014-05-27,1.4408
2014-05-28,1.5481
2014-05-29,0.9863
2014-05-30,1.4841
2014-06-03,0.9723
2014-06-04,1.5389
2014-06-05,1.5318
2014-06-06,1.3638
2014-06-09,0.8986
2014-06-10,1.1606
2014-06-11,0.9252
2014-06-12,1.8243
2014-06-13,1.5381
2014-06-16,1.297
2014-06-17,0.9836
2014-06-18,0.926
2014-06-19,0.9265
2014-06-20,1.5339
2014-06-23,1.4325
2014-06-24,0.9662
2014-06-25,1.4539
2014-06-26,1.9169
2014-06-27,2.5732
2014-06-30,0.9841
2014-07-01,0.9804
2014-07-02,0.9781
2014-07-03,0.8281
2014-07-04,1.0519
2014-07-07,1.5275
2014-07-08,1.5817
2014-07-09,0.914
2014-07-10,0.9207
2014-07-11,1.463
2014-07-14,0.9174
2014-07-15,2.1644
2014-07-16,0.9172
2014-07-17,1.2986
2014-07-18,0.8668
2014-07-21,0.8811
2014-07-22,1.9076
2014-07-23,1.3891
2014-07-24,2.3482
2014-07-25,2.7924
2014-07-28,0.9091
2014-07-29,2.5965
2014-07-30,1.8981
2014-07-31,0.9068
2014-08-01,0.8742
2014-08-04,0.8798
2014-08-05,2.5707
2014-08-06,0.9436
2014-08-07,0.9554
2014-08-08,0.9509
2014-08-11,0.9257
2014-08-12,0.9203
2014-08-13,0.9291
2014-08-14,1.3692
2014-08-15,1.4901
2014-08-18,0.9288
2014-08-19,1.159
2014-08-20,0.9243
2014-08-21,0.9232
2014-08-22,1.1339
2014-08-25,2.1041
2014-08-26,2.5083
2014-08-27,1.585
2014-08-28,0.8133
2014-08-29,1.1882
2014-09-01,0.8452
2014-09-02,0.8581
2014-09-03,1.4812
2014-09-04,0.8513
2014-09-05,0.8316
2014-09-09,0.8289
2014-09-10,1.0896
2014-09-11,0.8079
2014-09-12,0.8572
2014-09-15,1.2663
2014-09-16,4.5517
2014-09-17,1.6295
2014-09-18,9.2592
2014-09-19,0.9329
2014-09-22,0.9073
2014-09-23,3.5813
2014-09-24,0.8459
2014-09-25,1.0076
2014-09-26,1.0756
2014-09-29,1.032
2014-09-30,1.71
2014-10-08,4.5154
2014-10-09,1.0247
2014-10-10,0.9871
2014-10-13,2.1884
2014-10-14,1.0889
2014-10-15,1.1185
2014-10-16,1.6724
2014-10-17,1.0959
2014-10-20,2.0255
2014-10-21,0.963
2014-10-22,0.9673
2014-10-23,1.9229
2014-10-24,2.2581
2014-10-27,0.9622
2014-10-28,0.9839
2014-10-29,0.9694
2014-10-30,1.5018
2014-10-31,2.0546
2014-11-03,2.0825
2014-11-04,1.5571
2014-11-05,1.6215
2014-11-06,1.5444
2014-11-07,1.2065
2014-11-10,0.9892
2014-11-11,1.3886
2014-11-12,1.089
2014-11-13,1.5048
2014-11-14,1.9299
2014-11-17,1.0051
2014-11-18,1.5398
2014-11-19,0.9597
2014-11-20,0.9341
2014-11-21,0.9851
2014-11-24,1.3214
2014-11-25,1.0105
2014-11-26,1.0544
2014-11-27,2.0248
2014-11-28,1.3138
2014-12-01,1.0666
2014-12-02,1.0756
2014-12-03,2.0345
2014-12-04,1.0779
2014-12-05,0.8701
2014-12-08,0.8394
2014-12-09,1.5407
2014-12-10,0.6784
2014-12-11,1.2227
2014-12-12,0.9865
2014-12-15,0.5744
2014-12-16,0.3151
2014-12-17,0.819
2014-12-18,4.0668
2014-12-19,0.9412
2014-12-22,1.0482
2014-12-23,1.0733
2014-12-24,1.0702
2014-12-25,1.0957
2014-12-26,0.9683
2014-12-29,1.0889
2014-12-30,1.0679
2014-12-31,1.1489
2015-01-05,1.1046
2015-01-06,1.3211
2015-01-07,1.8055
2015-01-08,1.0315
2015-01-09,1.178
2015-01-12,1.0509
2015-01-13,1.1444
2015-01-14,2.1786
2015-01-15,1.3978
2015-01-16,1.5676
2015-01-19,0.9253
2015-01-20,1.1893
2015-01-21,1.4767
2015-01-22,1.3905
2015-01-23,0.9504
2015-01-26,0.9541
2015-01-27,0.9567
2015-01-28,1.5708
2015-01-29,0.9285
2015-01-30,0.9319
2015-02-02,0.9099
2015-02-03,1.0805
2015-02-04,0.9158
2015-02-05,0.9301
2015-02-06,1.3457
2015-02-09,1.7888
2015-02-10,0.9111
2015-02-11,1.9664
2015-02-12,0.9246
2015-02-13,1.1633
2015-02-16,7.2115
2015-02-17,0.9415
2015-02-25,1.7991
2015-02-26,0.9346
2015-02-27,0.9668
2015-03-02,0.9607
2015-03-03,0.956
2015-03-04,0.9492
2015-03-05,0.9652
2015-03-06,0.9613
2015-03-09,0.9262
2015-03-10,0.9046
2015-03-11,0.9453
2015-03-12,0.958
2015-03-13,4.7189
2015-03-16,0.9699
2015-03-17,0.9537
2015-03-18,0.9506
2015-03-19,0.9614
2015-03-20,1.1725
2015-03-23,0.8988
2015-03-24,0.8759
2015-03-25,0.8746
2015-03-26,0.8696
2015-03-27,0.8713
2015-03-30,0.8667
2015-03-31,3.3683
2015-04-01,0.9492
2015-04-02,0.896
2015-04-03,2.7895
2015-04-07,0.9883
2015-04-08,1.236
2015-04-09,1.1573
2015-04-10,2.5401
2015-04-13,1.5675
2015-04-14,1.2147
2015-04-15,1.5496
2015-04-16,1.1064
2015-04-17,1.1388
2015-04-20,1.118
2015-04-21,1.6897
2015-04-22,2.295
2015-04-23,1.4427
2015-04-24,1.3635
2015-04-27,1.4855
2015-04-28,1.8448
2015-04-29,0.9708
2015-04-30,0.967
2015-05-04,0.963
2015-05-05,0.9609
2015-05-06,1.5872
2015-05-07,2.7283
2015-05-08,1.6818
2015-05-11,1.0427
2015-05-12,2.2132
2015-05-13,1.03
2015-05-14,1.0093
2015-05-15,2.2
2015-05-18,3.7126
2015-05-19,0.8697
2015-05-20,1.5704
2015-05-21,0.9654
2015-05-22,0.9861
2015-05-25,1.9929
2015-05-26,1.5614
2015-05-27,1.5769
2015-05-28,0.7815
2015-05-29,1.7315
2015-06-01,0.8262
2015-06-02,0.8996
2015-06-03,1.7902
2015-06-04,0.9297
2015-06-05,1.6463
2015-06-08,2.6156
2015-06-09,2.3338
2015-06-10,0.7718
2015-06-11,1.6076
2015-06-12,0.8345
2015-06-15,0.7344
2015-06-16,0.7464
2015-06-17,2.5097
2015-06-18,0.7845
2015-06-19,0.792
2015-06-23,3.6401
2015-06-24,2.6199
2015-06-25,0.7958
2015-06-26,0.7611
2015-06-29,0.7883
2015-06-30,0.7986
2015-07-01,0.7798
2015-07-02,2.4598
2015-07-03,0.7769
2015-07-06,0.7446
2015-07-07,0.7688
2015-07-08,0.7504
2015-07-09,1.7412
2015-07-10,0.7165
2015-07-13,0.7024
2015-07-14,0.6974
2015-07-15,1.1388
2015-07-16,0.9409
2015-07-17,1.5418
2015-07-20,0.6891
2015-07-21,1.0216
2015-07-22,0.7787
2015-07-23,0.6737
2015-07-24,0.6731
2015-07-27,0.6567
2015-07-28,0.6491
2015-07-29,0.648
2015-07-30,0.6507
2015-07-31,0.653
2015-08-03,0.6517
2015-08-04,0.6478
2015-08-05,0.6562
2015-08-06,0.6489
2015-08-07,0.6509
2015-08-10,0.6526
2015-08-11,0.6499
2015-08-12,0.6554
2015-08-13,0.6553
2015-08-14,1.091
2015-08-17,0.634
2015-08-18,0.6414
2015-08-19,0.76
2015-08-20,0.6444
2015-08-21,1.3528
2015-08-24,0.6469
2015-08-25,0.6532
2015-08-26,0.6584
2015-08-27,1.0881
2015-08-28,0.6705
2015-08-31,0.6715
2015-09-01,0.6744
2015-09-02,0.677
2015-09-07,0.6833
2015-09-08,0.6844
2015-09-09,0.673
2015-09-10,0.6734
2015-09-11,0.6746
2015-09-14,0.6719
2015-09-15,0.6668
2015-09-16,0.6551
2015-09-17,0.658
2015-09-18,0.6707
2015-09-21,0.6704
2015-09-22,0.6768
2015-09-23,0.6845
2015-09-24,0.6843
2015-09-25,0.6717
2015-09-28,0.6814
2015-09-29,0.6748
2015-09-30,0.6932
2015-10-08,0.6864
2015-10-09,0.7628
2015-10-12,0.6781
2015-10-13,0.9776
