日期,收盘,成交量,RSI_14
2025-09-17,4551.02,235716472,19.493147681538865
2025-09-18,4498.11,309859826,18.340400502767878
2025-09-19,4501.92,225044000,18.713173256980372
2025-09-22,4522.61,196459956,20.826833269474626
2025-09-23,4519.78,252827062,20.74736595132484
2025-09-24,4566.07,220482608,25.738663992593423
2025-09-25,4593.49,229823333,28.606938778491852
2025-09-26,4550.05,208482114,26.8383729476515
2025-09-29,4620.05,274358877,33.92706852451515
2025-09-30,4640.69,247980359,35.8992303637299
2025-10-09,4709.48,347678696,42.101963684354416
2025-10-10,4616.83,319020899,36.92008380597233
2025-10-13,4593.98,315010354,35.751383114001094
2025-10-14,4539.06,372954030,33.04392781328874
2025-10-15,4606.29,284771855,39.12174851013524
2025-10-16,4618.42,248235518,40.17688659557131
2025-10-17,4514.23,256905617,34.62559220128848
