日期,收盘,成交量
2025-09-18,3831.66,876027389
2025-09-19,3820.09,682292613
2025-09-22,3828.58,568325686
2025-09-23,3821.83,701902868
2025-09-24,3853.64,602056670
2025-09-25,3853.3,589950531
2025-09-26,3828.11,551275335
2025-09-29,3862.53,608466399
2025-09-30,3882.78,569734631
2025-10-09,3933.97,725218501
2025-10-10,3897.03,718917673
2025-10-13,3889.5,709506101
2025-10-14,3865.23,800839631
2025-10-15,3912.21,645012955
2025-10-16,3916.23,595451491
2025-10-17,3839.76,617563018
