指数名称,指数代码,日期,成交量,历史7天均值,历史均值对比(%),前日对比(%)
上证指数,000001,2025-10-17,617563018,699157725.3333334,-11.67042920028266,3.7134052620921225
深成指数,399001,2025-10-17,667473475,732819524.8333334,-8.91707270602474,5.876384765472109
创业板指,399006,2025-10-17,185613716,212075660.16666666,-12.477596036183815,2.0147837957533548
沪深300,000300,2025-10-17,256905617,314611892.0,-18.3420514187048,3.4926907599097077
