日期,收盘,成交量,RSI_14
2025-09-17,3876.34,663434713,21.444401470070673
2025-09-18,3831.66,876027389,19.445087083447692
2025-09-19,3820.09,682292613,18.952328038809306
2025-09-22,3828.58,568325686,20.543485777221402
2025-09-23,3821.83,701902868,20.203869873526816
2025-09-24,3853.64,602056670,26.380496476619445
2025-09-25,3853.3,589950531,26.35701282456909
2025-09-26,3828.11,551275335,24.60912792649699
2025-09-29,3862.53,608466399,31.312055745347713
2025-09-30,3882.78,569734631,34.97495746048064
2025-10-09,3933.97,725218501,43.218210106739775
2025-10-10,3897.03,718917673,39.342296259956825
2025-10-13,3889.5,709506101,38.582700162262455
2025-10-14,3865.23,800839631,36.15941826016491
2025-10-15,3912.21,645012955,43.550369602506684
2025-10-16,3916.23,595451491,44.14624249173315
2025-10-17,3839.76,617563018,36.29721948833452
