日期,收盘,成交量,RSI_14
2025-09-17,3147.35,251111022,26.880723337535198
2025-09-18,3095.85,318944357,25.799947297640937
2025-09-19,3091.0,234774694,25.695170419969237
2025-09-22,3107.89,207186315,26.809905165062016
2025-09-23,3114.55,257912089,27.27322202651065
2025-09-24,3185.57,228593022,32.20194229485067
2025-09-25,3235.76,233199280,35.527289247700125
2025-09-26,3151.53,214826619,32.63441330409469
2025-09-29,3238.01,207295743,38.198575571722145
2025-09-30,3238.16,202434405,38.20810909512899
2025-10-09,3261.82,237037603,39.78594201603718
2025-10-10,3113.26,225512173,33.92783260821952
2025-10-13,3078.76,218736894,32.722849829605245
2025-10-14,2955.98,223204207,28.80231484070494
2025-10-15,3025.87,186015224,33.67369594359857
2025-10-16,3037.44,181947860,34.47299546063843
2025-10-17,2935.37,185613716,30.93159157612914
