日期,收盘,成交量,RSI_14
2025-09-17,13215.46,853723162,25.70709079782978
2025-09-18,13075.66,1073785345,24.67846556763007
2025-09-19,13070.86,819739634,24.642007044869956
2025-09-22,13157.97,722355718,26.75676133222334
2025-09-23,13119.82,860693568,26.407247046612014
2025-09-24,13356.14,727910238,32.306149611078766
2025-09-25,13445.9,740565637,34.45517540573954
2025-09-26,13209.0,694552823,31.603533706805273
2025-09-29,13479.43,675906008,37.91990109349831
2025-09-30,13526.51,658567252,38.97646877577714
2025-10-09,13725.56,797114828,43.36519737615368
2025-10-10,13355.42,780249411,37.90590030029572
2025-10-13,13231.47,742803634,36.25969229796951
2025-10-14,12895.11,781349621,32.17600474924737
2025-10-15,13118.75,664972505,37.237280161488805
2025-10-16,13086.41,630427150,36.80950867051327
2025-10-17,12688.94,667473475,31.95134587005348
