净值日期,单位净值,日增长率
2022-03-24,1.4567,0.0
2022-03-25,1.441,-1.08
2022-03-28,1.4274,-0.94
2022-03-29,1.4077,-1.38
2022-03-30,1.4356,1.98
2022-03-31,1.4071,-1.99
2022-04-01,1.4074,0.02
2022-04-06,1.3753,-2.28
2022-04-07,1.3494,-1.88
2022-04-08,1.3397,-0.72
2022-04-11,1.2791,-4.52
2022-04-12,1.2912,0.95
2022-04-13,1.2587,-2.52
2022-04-14,1.2733,1.16
2022-04-15,1.2598,-1.06
2022-04-18,1.2872,2.17
2022-04-19,1.2701,-1.33
2022-04-20,1.251,-1.5
2022-04-21,1.2192,-2.54
2022-04-22,1.1972,-1.8
2022-04-25,1.1127,-7.06
2022-04-26,1.0813,-2.82
2022-04-27,1.144,5.8
2022-04-28,1.132,-1.05
2022-04-29,1.1894,5.07
2022-05-05,1.21,1.73
2022-05-06,1.194,-1.32
2022-05-09,1.1974,0.28
2022-05-10,1.2261,2.4
2022-05-11,1.2478,1.77
2022-05-12,1.2592,0.91
2022-05-13,1.2675,0.66
2022-05-16,1.2565,-0.87
2022-05-17,1.2887,2.56
2022-05-18,1.2919,0.25
2022-05-19,1.314,1.71
2022-05-20,1.3111,-0.22
2022-05-23,1.3247,1.04
2022-05-24,1.2797,-3.4
2022-05-25,1.2896,0.77
2022-05-26,1.2884,-0.09
2022-05-27,1.2839,-0.35
2022-05-30,1.3071,1.81
2022-05-31,1.3238,1.28
2022-06-01,1.3314,0.57
2022-06-02,1.3776,3.47
2022-06-06,1.4153,2.74
2022-06-07,1.4018,-0.95
2022-06-08,1.3999,-0.14
2022-06-09,1.3636,-2.59
2022-06-10,1.401,2.74
2022-06-13,1.4036,0.19
2022-06-14,1.385,-1.33
2022-06-15,1.3821,-0.21
2022-06-16,1.3951,0.94
2022-06-17,1.4024,0.52
2022-06-20,1.4057,0.24
2022-06-21,1.3865,-1.37
2022-06-22,1.3671,-1.4
2022-06-23,1.4181,3.73
2022-06-24,1.4391,1.48
2022-06-27,1.4558,1.16
2022-06-28,1.4897,2.33
2022-06-29,1.4469,-2.87
2022-06-30,1.4676,1.43
2022-07-01,1.4723,0.32
2022-07-04,1.4748,0.17
2022-07-05,1.4666,-0.56
2022-07-06,1.4749,0.57
2022-07-07,1.4971,1.51
