净值日期,单位净值,日增长率
2022-12-26,1.0,0.0
2022-12-27,1.0,0.0
2022-12-28,1.0,0.0
2022-12-29,1.0,0.0
2022-12-30,1.0018,0.18
2022-12-31,1.0017,-0.01
2023-01-06,1.007,0.0
2023-01-13,1.0021,0.0
2023-01-20,1.0482,0.0
2023-02-01,1.0585,0.0
2023-02-02,1.0589,0.04
2023-02-03,1.0739,1.42
2023-02-06,1.0739,0.0
2023-02-07,1.0616,-1.15
2023-02-08,1.0566,-0.47
2023-02-09,1.0662,0.91
2023-02-10,1.0589,-0.68
2023-02-13,1.0631,0.4
2023-02-14,1.0618,-0.12
2023-02-15,1.07,0.77
2023-02-16,1.0632,-0.64
2023-02-17,1.0429,-1.91
2023-02-20,1.0585,1.5
2023-02-21,1.0603,0.17
2023-02-22,1.0638,0.33
2023-02-23,1.0478,-1.5
2023-02-24,1.05,0.21
2023-02-27,1.0438,-0.59
2023-02-28,1.056,1.17
2023-03-01,1.0792,2.2
2023-03-02,1.0751,-0.38
2023-03-03,1.0732,-0.18
2023-03-06,1.0717,-0.14
2023-03-07,1.0575,-1.32
2023-03-08,1.0753,1.68
2023-03-09,1.0848,0.88
2023-03-10,1.0863,0.14
2023-03-13,1.1212,3.21
2023-03-14,1.1273,0.54
2023-03-15,1.1152,-1.07
2023-03-16,1.114,-0.11
2023-03-17,1.1439,2.68
2023-03-20,1.1231,-1.82
2023-03-21,1.1255,0.21
2023-03-22,1.1407,1.35
2023-03-23,1.1702,2.59
2023-03-24,1.1685,-0.15
2023-03-27,1.1621,-0.55
2023-03-28,1.1601,-0.17
2023-03-29,1.1703,0.88
2023-03-30,1.148,-1.91
2023-03-31,1.1862,3.33
2023-04-03,1.2231,3.11
2023-04-04,1.2387,1.28
2023-04-06,1.2588,1.62
2023-04-07,1.2772,1.46
2023-04-10,1.236,-3.23
2023-04-11,1.2428,0.55
2023-04-12,1.2764,2.7
2023-04-13,1.2412,-2.76
2023-04-14,1.2469,0.46
2023-04-17,1.2372,-0.78
2023-04-18,1.2465,0.75
2023-04-19,1.2449,-0.13
2023-04-20,1.2757,2.47
2023-04-21,1.209,-5.23
2023-04-24,1.1918,-1.42
2023-04-25,1.1662,-2.15
2023-04-26,1.1184,-4.1
2023-04-27,1.1081,-0.92
2023-04-28,1.1416,3.02
2023-05-04,1.1327,-0.78
