净值日期,单位净值,日增长率
2017-05-02,1.0725,0.0
2017-05-03,1.0705,-0.1865
2017-05-04,1.0555,-1.4012
2017-05-05,1.0543,-0.1137
2017-05-08,1.0529,-0.1328
2017-05-09,1.0518,-0.1045
2017-05-10,1.047,-0.4564
2017-05-11,1.0488,0.1719
2017-05-12,1.0533,0.4291
2017-05-15,1.056,0.2563
2017-05-16,1.0575,0.142
2017-05-17,1.0607,0.3026
2017-05-18,1.0687,0.7542
2017-05-19,1.0666,-0.1965
2017-05-22,1.0692,0.2438
2017-05-23,1.0742,0.4676
2017-05-24,1.0664,-0.7261
2017-05-25,1.0709,0.422
2017-05-26,1.073,0.1961
2017-05-31,1.0682,-0.4473
2017-06-01,1.0681,-0.0094
2017-06-02,1.0651,-0.2809
2017-06-05,1.0784,1.2487
2017-06-06,1.0832,0.4451
2017-06-07,1.0852,0.1846
2017-06-08,1.0814,-0.3502
2017-06-09,1.0707,-0.9895
2017-06-12,1.0675,-0.2989
2017-06-13,1.0656,-0.178
2017-06-14,1.069,0.3191
2017-06-15,1.0625,-0.608
2017-06-16,1.0604,-0.1976
2017-06-19,1.058,-0.2263
2017-06-20,1.0571,-0.0851
2017-06-21,1.0563,-0.0757
2017-06-22,1.0624,0.5775
2017-06-23,1.0634,0.0941
2017-06-26,1.0638,0.0376
2017-06-27,1.0589,-0.4606
2017-06-28,1.0567,-0.2078
2017-06-29,1.0534,-0.3123
2017-06-30,1.0464,-0.6645
2017-07-03,1.0417,-0.4492
2017-07-04,1.0365,-0.4992
2017-07-05,1.0352,-0.1254
2017-07-06,1.0355,0.029
2017-07-07,1.0343,-0.1159
2017-07-10,1.0198,-1.4019
2017-07-11,1.0262,0.6276
2017-07-12,1.031,0.4677
2017-07-13,1.0317,0.0679
2017-07-14,1.027,-0.4556
2017-07-17,1.0362,0.8958
2017-07-18,1.0382,0.193
2017-07-19,1.04,0.1734
2017-07-20,1.0398,-0.0192
2017-07-21,1.0466,0.654
2017-07-24,1.0488,0.2102
2017-07-25,1.0489,0.0095
2017-07-26,1.0433,-0.5339
2017-07-27,1.0516,0.7956
2017-07-28,1.0505,-0.1046
2017-07-31,1.0534,0.2761
2017-08-01,1.0541,0.0665
2017-08-02,1.0523,-0.1708
2017-08-03,1.0472,-0.4847
2017-08-04,1.054,0.6494
2017-08-07,1.0472,-0.6452
2017-08-08,1.0459,-0.1241
2017-08-09,1.0499,0.3824
2017-08-10,1.0542,0.4096
2017-08-11,1.0595,0.5028
2017-08-14,1.059,-0.0472
2017-08-15,1.0522,-0.6421
2017-08-16,1.0514,-0.076
2017-08-17,1.0606,0.875
2017-08-18,1.066,0.5091
2017-08-21,1.0624,-0.3377
