净值日期,单位净值,日增长率
2022-11-22,1.0,0.0
2022-11-25,0.991,0.0
2022-12-02,1.0032,0.0
2022-12-06,0.9849,0.0
2022-12-07,0.9903,0.55
2022-12-08,1.0078,1.77
2022-12-09,1.033,2.5
2022-12-12,1.0375,0.44
2022-12-13,1.0295,-0.77
2022-12-14,1.039,0.92
2022-12-15,1.0216,-1.67
2022-12-16,1.0257,0.4
2022-12-19,0.9816,-4.3
2022-12-20,0.9753,-0.64
2022-12-21,0.9807,0.55
2022-12-22,0.9947,1.43
2022-12-23,1.0151,2.05
2022-12-26,1.0076,-0.74
2022-12-27,1.0068,-0.08
2022-12-28,1.025,1.81
2022-12-29,1.0559,3.01
2022-12-30,1.0494,-0.62
2022-12-31,1.0492,-0.02
2023-01-03,1.0701,1.97
2023-01-04,1.0979,2.6
2023-01-05,1.1162,1.67
2023-01-06,1.1143,-0.17
2023-01-09,1.1396,2.27
2023-01-10,1.131,-0.75
2023-01-11,1.1316,0.05
2023-01-12,1.1263,-0.47
2023-01-13,1.1717,4.03
2023-01-16,1.1946,1.95
2023-01-17,1.1662,-2.38
2023-01-18,1.1586,-0.65
2023-01-19,1.1776,1.64
2023-01-20,1.1811,0.3
2023-01-30,1.1787,-0.2
2023-01-31,1.1468,-2.71
2023-02-01,1.1882,3.61
2023-02-02,1.2219,2.84
2023-02-03,1.2196,-0.19
2023-02-06,1.1857,-2.78
2023-02-07,1.1845,-0.1
2023-02-08,1.1904,0.5
2023-02-09,1.1947,0.36
2023-02-10,1.1703,-2.04
2023-02-13,1.1767,0.55
2023-02-14,1.1694,-0.62
2023-02-15,1.1409,-2.44
2023-02-16,1.1095,-2.75
2023-02-17,1.118,0.77
2023-02-20,1.1461,2.51
2023-02-21,1.1248,-1.86
2023-02-22,1.1235,-0.12
2023-02-23,1.116,-0.67
2023-02-24,1.1036,-1.11
2023-02-27,1.0913,-1.11
2023-02-28,1.1044,1.2
2023-03-01,1.1259,1.95
2023-03-02,1.1129,-1.15
2023-03-03,1.1134,0.04
2023-03-06,1.1179,0.4
2023-03-07,1.0938,-2.16
2023-03-08,1.0672,-2.43
2023-03-09,1.0679,0.07
2023-03-10,1.0562,-1.1
2023-03-13,1.0467,-0.9
2023-03-14,1.0671,1.95
2023-03-15,1.0931,2.44
2023-03-16,1.0874,-0.52
2023-03-17,1.0756,-1.09
2023-03-20,1.0425,-3.08
2023-03-21,1.0788,3.48
2023-03-22,1.0639,-1.38
2023-03-23,1.0549,-0.85
2023-03-24,1.0373,-1.67
2023-03-27,1.0441,0.66
2023-03-28,1.0321,-1.15
2023-03-29,1.0332,0.11
2023-03-30,1.0297,-0.34
2023-03-31,1.0167,-1.26
2023-04-03,1.0027,-1.38
2023-04-04,1.0171,1.44
2023-04-06,1.0536,3.59
2023-04-07,1.1124,5.58
2023-04-10,1.1409,2.56
2023-04-11,1.1447,0.33
2023-04-12,1.1447,0.0
2023-04-13,1.1839,3.42
2023-04-14,1.1987,1.25
2023-04-17,1.1852,-1.13
2023-04-18,1.1836,-0.13
2023-04-19,1.1757,-0.67
2023-04-20,1.1577,-1.53
2023-04-21,1.1515,-0.54
2023-04-24,1.1563,0.42
2023-04-25,1.1154,-3.54
2023-04-26,1.1192,0.34
2023-04-27,1.1362,1.52
2023-04-28,1.1455,0.82
2023-05-04,1.1464,0.08
2023-05-05,1.1314,-1.31
2023-05-08,1.116,-1.36
2023-05-09,1.0806,-3.17
2023-05-10,1.0876,0.65
2023-05-11,1.1004,1.18
2023-05-12,1.0879,-1.14
2023-05-15,1.0953,0.68
2023-05-16,1.1212,2.36
2023-05-17,1.0869,-3.06
2023-05-18,1.0774,-0.87
2023-05-19,1.0792,0.17
2023-05-22,1.087,0.72
2023-05-23,1.1003,1.22
2023-05-24,1.0819,-1.67
2023-05-25,1.0696,-1.14
2023-05-26,1.0754,0.54
2023-05-29,1.0458,-2.75
2023-05-30,1.0346,-1.07
2023-05-31,1.0168,-1.72
2023-06-01,1.02,0.31
2023-06-02,1.0311,1.09
2023-06-05,1.0224,-0.84
2023-06-06,1.0002,-2.17
2023-06-07,0.995,-0.52
2023-06-08,0.9763,-1.88
2023-06-09,0.997,2.12
2023-06-12,0.9845,-1.25
2023-06-13,0.9803,-0.43
2023-06-14,0.9739,-0.65
2023-06-15,0.9802,0.65
2023-06-16,1.0025,2.28
2023-06-19,0.9944,-0.81
2023-06-20,0.9713,-2.32
2023-06-21,0.947,-2.5
2023-06-26,0.9416,-0.57
2023-06-27,0.9464,0.51
2023-06-28,0.9412,-0.55
2023-06-29,0.9394,-0.19
2023-06-30,0.9474,0.85
2023-07-03,0.9597,1.3
2023-07-04,1.0085,5.08
2023-07-05,0.9906,-1.77
2023-07-06,0.9741,-1.67
2023-07-07,0.9736,-0.05
2023-07-10,0.9655,-0.83
2023-07-11,0.9788,1.38
2023-07-12,0.9642,-1.49
2023-07-13,0.9963,3.33
2023-07-14,0.9838,-1.25
2023-07-17,0.9794,-0.45
2023-07-18,0.9773,-0.21
2023-07-19,0.967,-1.05
2023-07-20,0.9611,-0.61
