净值日期,单位净值,日增长率
2025-04-01,1.637,0.0
2025-04-02,1.639,0.12
2025-04-03,1.618,-1.28
2025-04-07,1.465,-9.46
2025-04-08,1.468,0.2
2025-04-09,1.493,1.7
2025-04-10,1.521,1.88
2025-04-11,1.533,0.79
2025-04-14,1.546,0.85
2025-04-15,1.543,-0.19
2025-04-16,1.531,-0.78
2025-04-17,1.533,0.13
2025-04-18,1.533,0.0
2025-04-21,1.556,1.5
2025-04-22,1.553,-0.19
2025-04-23,1.555,0.13
2025-04-24,1.549,-0.39
2025-04-25,1.553,0.26
2025-04-28,1.546,-0.45
2025-04-29,1.548,0.13
2025-04-30,1.554,0.39
2025-05-06,1.58,1.67
2025-05-07,1.583,0.19
2025-05-08,1.59,0.44
2025-05-09,1.577,-0.82
2025-05-12,1.594,1.08
2025-05-13,1.591,-0.19
2025-05-14,1.596,0.31
2025-05-15,1.577,-1.19
2025-05-16,1.578,0.06
2025-05-19,1.581,0.19
2025-05-20,1.59,0.57
2025-05-21,1.593,0.19
2025-05-22,1.581,-0.75
2025-05-23,1.569,-0.76
2025-05-26,1.573,0.25
2025-05-27,1.569,-0.25
2025-05-28,1.567,-0.13
2025-05-29,1.589,1.4
2025-05-30,1.578,-0.69
2025-06-03,1.586,0.51
2025-06-04,1.597,0.69
2025-06-05,1.605,0.5
2025-06-06,1.604,-0.06
2025-06-09,1.616,0.75
2025-06-10,1.605,-0.68
2025-06-11,1.617,0.75
2025-06-12,1.622,0.31
2025-06-13,1.606,-0.99
2025-06-16,1.614,0.5
2025-06-17,1.611,-0.19
2025-06-18,1.611,0.0
2025-06-19,1.594,-1.06
2025-06-20,1.587,-0.44
2025-06-23,1.597,0.63
2025-06-24,1.623,1.63
2025-06-25,1.647,1.48
2025-06-26,1.641,-0.36
2025-06-27,1.647,0.37
2025-06-30,1.663,0.97
2025-07-01,1.668,0.3
2025-07-02,1.661,-0.42
2025-07-03,1.67,0.54
2025-07-04,1.665,-0.3
2025-07-07,1.663,-0.12
2025-07-08,1.684,1.26
2025-07-09,1.68,-0.24
2025-07-10,1.687,0.42
2025-07-11,1.698,0.65
2025-07-14,1.698,0.0
2025-07-15,1.698,0.0
2025-07-16,1.699,0.06
2025-07-17,1.715,0.94
2025-07-18,1.72,0.29
2025-07-21,1.737,0.99
2025-07-22,1.75,0.75
2025-07-23,1.747,-0.17
2025-07-24,1.768,1.2
2025-07-25,1.769,0.06
2025-07-28,1.775,0.34
2025-07-29,1.783,0.45
2025-07-30,1.777,-0.34
2025-07-31,1.754,-1.29
2025-08-01,1.755,0.06
2025-08-04,1.767,0.68
2025-08-05,1.78,0.74
2025-08-06,1.796,0.9
2025-08-07,1.791,-0.28
2025-08-08,1.788,-0.17
2025-08-11,1.807,1.06
2025-08-12,1.813,0.33
2025-08-13,1.836,1.27
2025-08-14,1.814,-1.2
2025-08-15,1.845,1.71
2025-08-18,1.864,1.03
2025-08-19,1.863,-0.05
2025-08-20,1.883,1.07
2025-08-21,1.878,-0.27
2025-08-22,1.907,1.54
2025-08-25,1.937,1.57
2025-08-26,1.943,0.31
2025-08-27,1.914,-1.49
2025-08-28,1.946,1.67
2025-08-29,1.954,0.41
2025-09-01,1.968,0.72
2025-09-02,1.931,-1.88
2025-09-03,1.908,-1.19
2025-09-04,1.869,-2.04
2025-09-05,1.922,2.84
2025-09-08,1.938,0.83
2025-09-09,1.922,-0.83
2025-09-10,1.924,0.1
2025-09-11,1.97,2.39
2025-09-12,1.972,0.1
2025-09-15,1.97,-0.1
2025-09-16,1.981,0.56
2025-09-17,1.999,0.91
2025-09-18,1.981,-0.9
2025-09-19,1.979,-0.1
2025-09-22,1.989,0.51
2025-09-23,1.973,-0.8
2025-09-24,2.012,1.98
2025-09-25,2.021,0.45
2025-09-26,1.999,-1.09
2025-09-29,1.82,1.1
2025-09-30,1.836,0.88
2025-10-09,1.867,1.69
2025-10-10,1.836,-1.66
