净值日期,单位净值,日增长率
2024-12-27,1.0949,0.0
2024-12-30,1.0977,0.26
2024-12-31,1.0849,-1.17
2025-01-02,1.0645,-1.88
2025-01-03,1.0481,-1.54
2025-01-06,1.0393,-0.84
2025-01-07,1.0377,-0.15
2025-01-08,1.0366,-0.11
2025-01-09,1.0335,-0.3
2025-01-10,1.0204,-1.27
2025-01-13,1.0214,0.1
2025-01-14,1.0532,3.11
2025-01-15,1.0473,-0.56
2025-01-16,1.0471,-0.02
2025-01-17,1.0554,0.79
2025-01-20,1.0653,0.94
2025-01-21,1.0688,0.33
2025-01-22,1.0606,-0.77
2025-01-23,1.0577,-0.27
2025-01-24,1.0611,0.32
2025-01-27,1.0569,-0.4
2025-02-05,1.0531,-0.36
2025-02-06,1.0644,1.07
2025-02-07,1.086,2.03
2025-02-10,1.1099,2.2
2025-02-11,1.1014,-0.77
2025-02-12,1.105,0.33
2025-02-13,1.0986,-0.58
2025-02-14,1.1107,1.1
2025-02-17,1.1104,-0.03
2025-02-18,1.0944,-1.44
2025-02-19,1.1066,1.11
2025-02-20,1.1179,1.02
2025-02-21,1.1302,1.1
2025-02-24,1.124,-0.55
2025-02-25,1.1063,-1.57
2025-02-26,1.113,0.61
2025-02-27,1.1281,1.36
2025-02-28,1.1123,-1.4
2025-03-03,1.1265,1.28
2025-03-04,1.1263,-0.02
2025-03-05,1.1261,-0.02
2025-03-06,1.1334,0.65
2025-03-07,1.1272,-0.55
2025-03-10,1.1358,0.76
2025-03-11,1.1446,0.77
2025-03-12,1.1465,0.17
2025-03-13,1.1365,-0.87
2025-03-14,1.1619,2.23
2025-03-17,1.1546,-0.63
2025-03-18,1.1624,0.68
2025-03-19,1.1621,-0.03
2025-03-20,1.1573,-0.41
2025-03-21,1.1317,-2.21
2025-03-24,1.1292,-0.22
2025-03-25,1.1263,-0.26
2025-03-26,1.1294,0.28
2025-03-27,1.1551,2.28
2025-03-28,1.157,0.16
2025-03-31,1.1459,-0.96
2025-04-01,1.1792,2.91
2025-04-02,1.1848,0.47
2025-04-03,1.1803,-0.38
2025-04-07,1.0772,-8.74
2025-04-08,1.1007,2.18
2025-04-09,1.1062,0.5
2025-04-10,1.1262,1.81
2025-04-11,1.1297,0.31
2025-04-14,1.1396,0.88
2025-04-15,1.1395,-0.01
2025-04-16,1.1311,-0.74
2025-04-17,1.1304,-0.06
2025-04-18,1.124,-0.57
2025-04-21,1.1531,2.59
2025-04-22,1.1574,0.37
2025-04-23,1.1512,-0.54
2025-04-24,1.1593,0.7
2025-04-25,1.158,-0.11
2025-04-28,1.157,-0.09
2025-04-29,1.1706,1.18
2025-04-30,1.1713,0.06
2025-05-06,1.1923,1.79
2025-05-07,1.1884,-0.33
2025-05-08,1.1872,-0.1
2025-05-09,1.1851,-0.18
2025-05-12,1.1927,0.64
2025-05-13,1.207,1.2
2025-05-14,1.2095,0.21
2025-05-15,1.2003,-0.76
2025-05-16,1.2042,0.32
2025-05-19,1.205,0.07
2025-05-20,1.2248,1.64
2025-05-21,1.2346,0.8
2025-05-22,1.2171,-1.42
2025-05-23,1.2139,-0.26
2025-05-26,1.2165,0.21
2025-05-27,1.2196,0.25
2025-05-28,1.2204,0.07
2025-05-29,1.2299,0.78
2025-05-30,1.2286,-0.11
2025-06-03,1.2566,2.28
2025-06-04,1.2846,2.23
2025-06-05,1.2637,-1.63
2025-06-06,1.2563,-0.59
2025-06-09,1.2704,1.12
2025-06-10,1.2835,1.03
2025-06-11,1.29,0.51
2025-06-12,1.3159,2.01
2025-06-13,1.3021,-1.05
2025-06-16,1.2924,-0.74
2025-06-17,1.2803,-0.94
2025-06-18,1.2646,-1.23
2025-06-19,1.2395,-1.98
2025-06-20,1.2344,-0.41
2025-06-23,1.2494,1.22
2025-06-24,1.2577,0.66
2025-06-25,1.2591,0.11
2025-06-26,1.251,-0.64
2025-06-27,1.2537,0.22
2025-06-30,1.2812,2.19
2025-07-01,1.3014,1.58
2025-07-02,1.2853,-1.24
2025-07-03,1.2984,1.02
2025-07-04,1.2877,-0.82
2025-07-07,1.2875,-0.02
2025-07-08,1.2973,0.76
2025-07-09,1.2912,-0.47
2025-07-10,1.2949,0.29
2025-07-11,1.3038,0.69
2025-07-14,1.3069,0.24
2025-07-15,1.2903,-1.27
2025-07-16,1.2944,0.32
2025-07-17,1.3057,0.87
2025-07-18,1.3068,0.08
2025-07-21,1.3178,0.84
2025-07-22,1.3233,0.42
2025-07-23,1.3184,-0.37
2025-07-24,1.3257,0.55
2025-07-25,1.315,-0.81
2025-07-28,1.3127,-0.17
2025-07-29,1.3382,1.94
2025-07-30,1.3342,-0.3
2025-07-31,1.3284,-0.43
2025-08-01,1.3299,0.11
2025-08-04,1.3461,1.22
2025-08-05,1.341,-0.38
2025-08-06,1.3492,0.61
2025-08-07,1.3599,0.79
2025-08-08,1.3635,0.26
2025-08-11,1.3687,0.38
2025-08-12,1.3599,-0.64
2025-08-13,1.3719,0.88
2025-08-14,1.3462,-1.87
2025-08-15,1.3652,1.41
2025-08-18,1.397,2.33
2025-08-19,1.4075,0.75
2025-08-20,1.4124,0.35
2025-08-21,1.4101,-0.16
2025-08-22,1.4127,0.18
2025-08-25,1.4513,2.73
2025-08-26,1.4364,-1.03
2025-08-27,1.4075,-2.01
2025-08-28,1.4051,-0.17
2025-08-29,1.4542,3.49
2025-09-01,1.4793,1.73
2025-09-02,1.475,-0.29
2025-09-03,1.4718,-0.22
2025-09-04,1.4383,-2.28
2025-09-05,1.4913,3.68
2025-09-08,1.5,0.58
2025-09-09,1.4916,-0.56
2025-09-10,1.4806,-0.74
2025-09-11,1.4778,-0.19
2025-09-12,1.4836,0.39
2025-09-15,1.4829,-0.05
2025-09-16,1.4924,0.64
2025-09-17,1.4867,-0.38
2025-09-18,1.4756,-0.75
2025-09-19,1.4675,-0.55
2025-09-22,1.4768,0.63
2025-09-23,1.4666,-0.69
2025-09-24,1.4815,1.02
2025-09-25,1.4834,0.13
2025-09-26,1.4632,-1.36
2025-09-29,1.4705,0.5
2025-09-30,1.4969,1.8
2025-10-09,1.503,0.41
2025-10-10,1.4744,-1.9
