,NAV
2024-11-28 00:00:00,1000.0
2024-11-29 00:00:00,1013.0727330077483
2024-12-02 00:00:00,1024.3305427141952
2024-12-03 00:00:00,1027.9665039487925
2024-12-04 00:00:00,1022.1993380873074
2024-12-05 00:00:00,1025.8555049804593
2024-12-06 00:00:00,1027.4271296858608
2024-12-09 00:00:00,1030.8593136330385
2024-12-10 00:00:00,1035.6576341387297
2024-12-11 00:00:00,1045.1849527918253
2024-12-12 00:00:00,1052.5159140799815
2024-12-13 00:00:00,1039.6842831285555
2024-12-16 00:00:00,1035.709486122858
2024-12-17 00:00:00,1028.5462093843282
2024-12-18 00:00:00,1035.4132985213753
2024-12-19 00:00:00,1039.1881270159395
2024-12-20 00:00:00,1047.4740238728955
2024-12-23 00:00:00,1028.7946643731557
2024-12-24 00:00:00,1042.0473097723213
2024-12-25 00:00:00,1036.8647884402492
2024-12-26 00:00:00,1045.5380122851777
2024-12-27 00:00:00,1038.456102206678
2024-12-30 00:00:00,1037.777752443002
2024-12-31 00:00:00,1021.488884294891
2025-01-02 00:00:00,1000.6478209039647
2025-01-03 00:00:00,983.9094908832961
2025-01-06 00:00:00,980.9964464075688
2025-01-07 00:00:00,1001.7619903738597
2025-01-08 00:00:00,997.3857933048462
2025-01-09 00:00:00,1000.6913610012595
2025-01-10 00:00:00,990.2407493588394
2025-01-13 00:00:00,985.6958290620634
2025-01-14 00:00:00,1015.3894784737436
2025-01-15 00:00:00,1009.1318471894301
2025-01-16 00:00:00,1004.8714873549483
2025-01-17 00:00:00,1015.8240756768837
2025-01-20 00:00:00,1028.167075579995
2025-01-21 00:00:00,1045.9842724038497
2025-01-22 00:00:00,1056.3722718649426
2025-01-23 00:00:00,1044.5778598920474
2025-01-24 00:00:00,1057.6213531477972
2025-01-27 00:00:00,1057.7472604517434
2025-02-05 00:00:00,1057.8731827446543
2025-02-06 00:00:00,1087.604546483263
2025-02-07 00:00:00,1095.346535422078
2025-02-10 00:00:00,1107.0149215395286
2025-02-11 00:00:00,1110.3049083451356
2025-02-12 00:00:00,1127.5772497787902
2025-02-13 00:00:00,1099.568830346679
2025-02-14 00:00:00,1099.6997313979107
2025-02-17 00:00:00,1123.2392822981824
2025-02-18 00:00:00,1105.9891634173725
2025-02-19 00:00:00,1121.1435958592701
2025-02-20 00:00:00,1127.7291042501365
2025-02-21 00:00:00,1171.930453590787
2025-02-24 00:00:00,1161.633765648379
2025-02-25 00:00:00,1151.8368617854255
2025-02-26 00:00:00,1158.0407322151689
2025-02-27 00:00:00,1155.3566090577597
2025-02-28 00:00:00,1136.4704207955228
2025-03-03 00:00:00,1148.131369657987
2025-03-04 00:00:00,1163.6279045936608
2025-03-05 00:00:00,1175.6655467864543
2025-03-06 00:00:00,1207.2793554513576
2025-03-07 00:00:00,1207.5799699735421
2025-03-10 00:00:00,1202.9192831782145
2025-03-11 00:00:00,1209.0033821303102
2025-03-12 00:00:00,1212.523066713684
2025-03-13 00:00:00,1192.5257455049473
2025-03-14 00:00:00,1214.1481847194516
2025-03-17 00:00:00,1221.0258423089879
2025-03-18 00:00:00,1232.252124679684
2025-03-19 00:00:00,1218.9925009585456
2025-03-20 00:00:00,1218.556583004164
2025-03-21 00:00:00,1178.5320256570835
2025-03-24 00:00:00,1184.7245747974214
2025-03-25 00:00:00,1161.3783584126472
2025-03-26 00:00:00,1164.7094895334067
2025-03-27 00:00:00,1168.6685719227776
2025-03-28 00:00:00,1161.912702574337
2025-03-31 00:00:00,1159.8033672479778
2025-04-01 00:00:00,1161.843678820287
2025-04-02 00:00:00,1166.3868491337457
2025-04-03 00:00:00,1145.3567925254258
2025-04-07 00:00:00,1029.0690621937879
2025-04-08 00:00:00,1044.4704283544697
2025-04-09 00:00:00,1067.3605034661616
2025-04-10 00:00:00,1089.1420124275226
2025-04-11 00:00:00,1099.8570932225555
2025-04-14 00:00:00,1109.9356926550734
2025-04-15 00:00:00,1101.2812270997879
2025-04-16 00:00:00,1094.3698195565
2025-04-17 00:00:00,1096.5969422583814
2025-04-18 00:00:00,1092.0303044610823
2025-04-21 00:00:00,1106.3515010746185
2025-04-22 00:00:00,1108.9879858225693
2025-04-23 00:00:00,1117.946001201285
2025-04-24 00:00:00,1116.8866399190435
2025-04-25 00:00:00,1116.4890298656726
2025-04-28 00:00:00,1110.842967107805
2025-04-29 00:00:00,1112.2743632999407
2025-04-30 00:00:00,1122.8495710612322
2025-05-06 00:00:00,1127.9441573538866
2025-05-07 00:00:00,1124.7901175605132
2025-05-08 00:00:00,1125.691164381679
2025-05-09 00:00:00,1092.7621279310586
2025-05-12 00:00:00,1092.8922186605741
2025-05-13 00:00:00,1090.5146431304931
2025-05-14 00:00:00,1090.0114475329715
2025-05-15 00:00:00,1090.141210800535
2025-05-16 00:00:00,1091.9485677911011
2025-05-19 00:00:00,1100.7355666201727
2025-05-20 00:00:00,1100.074311865304
2025-05-21 00:00:00,1118.2459591905656
2025-05-22 00:00:00,1113.4938948046683
2025-05-23 00:00:00,1103.3825681350897
2025-05-26 00:00:00,1110.8313997975795
2025-05-27 00:00:00,1098.7260376018878
2025-05-28 00:00:00,1094.6088289015388
2025-05-29 00:00:00,1113.9660754691736
2025-05-30 00:00:00,1101.1958963613336
2025-06-03 00:00:00,1107.8448599648204
2025-06-04 00:00:00,1120.8480314889043
2025-06-05 00:00:00,1139.5166031384633
2025-06-06 00:00:00,1138.6261272267084
2025-06-09 00:00:00,1150.0402684803873
2025-06-10 00:00:00,1140.2272477000981
2025-06-11 00:00:00,1151.3720468679774
2025-06-12 00:00:00,1150.413299801188
2025-06-13 00:00:00,1147.0860466924821
2025-06-16 00:00:00,1150.4184898895833
2025-06-17 00:00:00,1143.0793012605482
2025-06-18 00:00:00,1153.0000118135272
2025-06-19 00:00:00,1149.9427675618851
2025-06-20 00:00:00,1141.727625920261
2025-06-23 00:00:00,1151.530253241542
