日期,指数名称,指数代码,PE,PE百分位,PB,PB百分位,股息率,ROE
2025-10-09,中证白酒,SZ399997,18.6884,0.0604,5.1665,0.218,0.0383,0.2765
2025-10-09,消费红利,CSIH30094,19.2384,0.0516,4.4218,0.2424,0.0381,0.2298
2025-10-09,主要消费,SH000932,19.2488,0.02,4.3534,0.2424,0.0334,0.2262
2025-10-09,国证食品,SZ399396,20.9842,0.062,4.4902,0.1696,0.0349,0.214
