date,net_value
2025-10-16,3.1565
2025-10-15,3.157
2025-10-14,3.0595
2025-10-13,3.1681
2025-10-10,3.1996
2025-10-09,3.3081
2025-09-30,3.3522
2025-09-29,3.3353
2025-09-26,3.2866
2025-09-25,3.4074
2025-09-24,3.4532
2025-09-23,3.4433
2025-09-22,3.4737
2025-09-19,3.4544
2025-09-18,3.4791
2025-09-17,3.3563
2025-09-16,3.3041
2025-09-15,3.2342
2025-09-12,3.2684
2025-09-11,3.3084
2025-09-10,3.1886
2025-09-09,3.1429
2025-09-08,3.2168
2025-09-05,3.3221
2025-09-04,3.1911
2025-09-03,3.4211
2025-09-02,3.3595
2025-09-01,3.5155
2025-08-29,3.3942
2025-08-28,3.3297
2025-08-27,3.1836
2025-08-26,3.1625
2025-08-25,3.2147
2025-08-22,3.1531
2025-08-21,3.1098
2025-08-20,3.1755
2025-08-19,3.1819
2025-08-18,3.166
2025-08-15,2.9571
2025-08-14,2.9063
2025-08-13,3.0151
2025-08-12,2.9091
2025-08-11,2.8365
2025-08-08,2.7603
2025-08-07,2.7558
2025-08-06,2.7687
2025-08-05,2.7636
2025-08-04,2.756
2025-08-01,2.755
2025-07-31,2.7872
2025-07-30,2.7189
2025-07-29,2.7451
2025-07-28,2.6347
2025-07-25,2.5599
2025-07-24,2.5357
2025-07-23,2.5438
2025-07-22,2.544
2025-07-21,2.548
2025-07-18,2.54
2025-07-17,2.5616
2025-07-16,2.45
2025-07-15,2.4256
2025-07-14,2.3843
2025-07-11,2.3976
2025-07-10,2.3852
2025-07-09,2.3363
2025-07-08,2.3453
2025-07-07,2.3222
2025-07-04,2.3332
2025-07-03,2.3654
2025-07-02,2.3542
2025-07-01,2.3766
2025-06-30,2.3647
2025-06-27,2.3002
2025-06-26,2.2336
2025-06-25,2.2385
2025-06-24,2.2378
2025-06-23,2.2383
2025-06-20,2.2465
2025-06-19,2.2765
2025-06-18,2.3084
2025-06-17,2.2435
2025-06-16,2.2582
2025-06-13,2.2112
2025-06-12,2.2324
2025-06-11,2.19
2025-06-10,2.1987
2025-06-09,2.2057
2025-06-06,2.2012
2025-06-05,2.17
2025-06-04,2.0804
2025-06-03,2.0044
2025-05-30,1.9945
2025-05-29,2.0244
2025-05-28,2.0101
2025-05-27,1.9751
2025-05-26,1.9889
2025-05-23,1.9651
2025-05-22,1.9801
2025-05-21,1.9831
2025-05-20,1.9976
2025-05-19,1.9959
2025-05-16,1.9983
2025-05-15,1.9791
2025-05-14,2.0328
2025-05-13,2.014
2025-05-12,2.0387
2025-05-09,2.02
2025-05-08,2.0607
2025-05-07,2.0276
2025-05-06,2.0262
2025-04-30,1.9472
2025-04-29,1.887
2025-04-28,1.8436
2025-04-25,1.8424
2025-04-24,1.7856
2025-04-23,1.8117
2025-04-22,1.7677
2025-04-21,1.7521
2025-04-18,1.6837
2025-04-17,1.6938
2025-04-16,1.6875
2025-04-15,1.7123
2025-04-14,1.723
2025-04-11,1.6889
2025-04-10,1.6427
2025-04-09,1.584
2025-04-08,1.537
2025-04-07,1.509
2025-04-03,1.8045
2025-04-02,1.8412
2025-04-01,1.8373
2025-03-31,1.8383
2025-03-28,1.8081
2025-03-27,1.8375
2025-03-26,1.852
2025-03-25,1.8706
2025-03-24,1.9136
2025-03-21,1.9082
2025-03-20,1.9607
2025-03-19,1.9945
2025-03-18,2.065
2025-03-17,2.0777
2025-03-14,2.0856
2025-03-13,2.0464
2025-03-12,2.066
2025-03-11,2.0514
2025-03-10,2.0848
2025-03-07,2.0077
2025-03-06,2.0494
2025-03-05,2.0237
2025-03-04,1.9765
2025-03-03,1.9557
2025-02-28,1.9889
2025-02-27,2.1751
2025-02-26,2.2623
2025-02-25,2.2316
2025-02-24,2.2465
2025-02-21,2.3138
2025-02-20,2.2076
2025-02-19,2.1898
2025-02-18,2.1304
2025-02-17,2.1703
2025-02-14,2.1011
2025-02-13,2.1201
2025-02-12,2.1814
2025-02-11,2.1625
2025-02-10,2.1614
2025-02-07,2.1668
2025-02-06,2.1082
2025-02-05,2.018
2025-01-27,2.1413
2025-01-24,2.289
2025-01-23,2.2174
2025-01-22,2.2424
2025-01-21,2.2283
2025-01-20,2.1563
2025-01-17,2.1013
2025-01-16,2.0831
2025-01-15,2.0323
2025-01-14,2.0718
2025-01-13,1.9845
2025-01-10,1.9553
2025-01-09,2.0272
2025-01-08,2.0247
2025-01-07,2.0006
2025-01-06,1.8936
2025-01-03,1.8968
2025-01-02,1.9619
2024-12-31,2.0052
2024-12-30,2.1003
2024-12-27,2.1193
2024-12-26,2.1511
2024-12-25,2.0294
2024-12-24,2.0024
2024-12-23,1.9895
2024-12-20,2.0369
2024-12-19,1.9826
2024-12-18,1.9431
2024-12-17,1.9406
2024-12-16,1.9753
2024-12-13,1.948
