date,net_value
2025-10-17,3.99
2025-10-16,4.1492
2025-10-15,4.2138
2025-10-14,4.1226
2025-10-13,4.2345
2025-10-10,4.2839
2025-10-09,4.3788
2025-09-30,4.3308
2025-09-29,4.3025
2025-09-26,4.2335
2025-09-25,4.3539
2025-09-24,4.3361
2025-09-23,4.2629
2025-09-22,4.2767
2025-09-19,4.2126
2025-09-18,4.2405
2025-09-17,4.2842
2025-09-16,4.2283
2025-09-15,4.1045
2025-09-12,4.0964
2025-09-11,4.1109
2025-09-10,3.9991
2025-09-09,4.029
2025-09-08,4.0992
2025-09-05,4.0266
2025-09-04,3.8599
2025-09-03,3.9261
2025-09-02,3.9639
2025-09-01,4.0394
2025-08-29,4.0167
2025-08-28,3.9993
2025-08-27,3.9411
2025-08-26,3.9579
2025-08-25,3.955
2025-08-22,3.9101
2025-08-21,3.8056
2025-08-20,3.8309
2025-08-19,3.7962
2025-08-18,3.7907
2025-08-15,3.7164
2025-08-14,3.6242
2025-08-13,3.6726
2025-08-12,3.6036
2025-08-11,3.5665
2025-08-08,3.5032
2025-08-07,3.5246
2025-08-06,3.5422
2025-08-05,3.4993
2025-08-04,3.4753
2025-08-01,3.4285
2025-07-31,3.4076
2025-07-30,3.3953
2025-07-29,3.4474
2025-07-28,3.4004
2025-07-25,3.3651
2025-07-24,3.3352
2025-07-23,3.2958
2025-07-22,3.3323
2025-07-21,3.3118
2025-07-18,3.2697
2025-07-17,3.2906
2025-07-16,3.2406
2025-07-15,3.2192
2025-07-14,3.1756
2025-07-11,3.1655
2025-07-10,3.1796
2025-07-09,3.1726
2025-07-08,3.1882
2025-07-07,3.0676
2025-07-04,3.0839
2025-07-03,3.0792
2025-07-02,3.0457
2025-07-01,3.0947
2025-06-30,3.1051
2025-06-27,3.053
2025-06-26,3.0076
2025-06-25,3.0079
2025-06-24,2.9651
2025-06-23,2.9046
2025-06-20,2.9036
2025-06-19,2.9339
2025-06-18,2.9589
2025-06-17,2.8871
2025-06-16,2.9029
2025-06-13,2.8614
2025-06-12,2.8946
2025-06-11,2.8634
2025-06-10,2.8502
2025-06-09,2.8958
2025-06-06,2.848
2025-06-05,2.8463
2025-06-04,2.7592
2025-06-03,2.6952
2025-05-30,2.7087
2025-05-29,2.7494
2025-05-28,2.693
2025-05-27,2.6777
2025-05-26,2.7245
2025-05-23,2.7143
2025-05-22,2.756
2025-05-21,2.7883
2025-05-20,2.7984
2025-05-19,2.7926
2025-05-16,2.8116
2025-05-15,2.7939
2025-05-14,2.8647
2025-05-13,2.8682
2025-05-12,2.8576
2025-05-09,2.7925
2025-05-08,2.8438
2025-05-07,2.7639
2025-05-06,2.764
2025-04-30,2.6645
2025-04-29,2.6488
2025-04-28,2.6427
2025-04-25,2.6568
2025-04-24,2.6093
2025-04-23,2.6491
2025-04-22,2.5859
2025-04-21,2.6114
2025-04-18,2.536
2025-04-17,2.5159
2025-04-16,2.5164
2025-04-15,2.5631
2025-04-14,2.5748
2025-04-11,2.5488
2025-04-10,2.521
2025-04-09,2.4159
2025-04-08,2.3769
2025-04-07,2.4226
2025-04-03,2.7966
2025-04-02,2.9109
2025-04-01,2.8906
2025-03-31,2.8902
2025-03-28,2.8931
2025-03-27,2.9087
2025-03-26,2.9256
2025-03-25,2.9278
2025-03-24,2.9608
2025-03-21,2.9437
2025-03-20,3.007
2025-03-19,3.0312
2025-03-18,3.1152
2025-03-17,3.0626
2025-03-14,3.0538
2025-03-13,2.9739
2025-03-12,3.0218
2025-03-11,3.0196
2025-03-10,3.0304
2025-03-07,3.0225
2025-03-06,3.054
2025-03-05,2.9947
2025-03-04,2.9857
2025-03-03,2.9611
2025-02-28,2.9666
2025-02-27,3.1024
2025-02-26,3.1605
2025-02-25,3.1121
2025-02-24,3.1354
2025-02-21,3.1413
2025-02-20,3.0875
2025-02-19,3.0951
2025-02-18,3.0407
2025-02-17,3.0685
2025-02-14,3.0214
2025-02-13,3.0051
2025-02-12,3.0684
2025-02-11,3.0258
2025-02-10,3.047
2025-02-07,3.0633
2025-02-06,2.9699
2025-02-05,2.8952
2025-01-27,2.9789
2025-01-24,3.0775
2025-01-23,3.0212
2025-01-22,3.0565
2025-01-21,3.0542
2025-01-20,3.0469
2025-01-17,2.9974
2025-01-16,2.9734
2025-01-15,2.9266
2025-01-14,2.9498
2025-01-13,2.8561
2025-01-10,2.8719
2025-01-09,2.9381
2025-01-08,2.9464
2025-01-07,2.9315
2025-01-06,2.871
2025-01-03,2.8574
2025-01-02,2.9043
2024-12-31,2.9754
2024-12-30,3.0553
2024-12-27,3.0671
2024-12-26,3.1079
2024-12-25,3.0631
2024-12-24,3.0554
2024-12-23,3.0027
2024-12-20,3.0378
2024-12-19,3.0342
2024-12-18,3.0015
2024-12-17,3.0032
2024-12-16,3.0066
2024-12-13,3.0473
2024-12-12,3.1081
2024-12-11,3.0842
2024-12-10,3.0746
2024-12-09,3.0635
2024-12-06,3.0931
2024-12-05,3.0803
2024-12-04,3.0542
2024-12-03,3.0993
2024-12-02,3.1184
2024-11-29,3.0526
2024-11-28,2.9814
2024-11-27,3.0127
2024-11-26,2.9354
2024-11-25,2.9449
2024-11-22,2.9584
2024-11-21,3.0553
2024-11-20,3.0649
2024-11-19,3.0574
2024-11-18,2.9912
2024-11-15,3.0779
2024-11-14,3.1673
2024-11-13,3.2483
2024-11-12,3.1883
2024-11-11,3.2215
2024-11-08,3.1511
2024-11-07,3.1612
2024-11-06,3.1364
2024-11-05,3.1445
2024-11-04,3.0556
2024-11-01,2.9977
2024-10-31,3.0632
2024-10-30,3.0451
2024-10-29,3.0477
2024-10-28,3.0704
2024-10-25,3.0919
2024-10-24,3.0423
2024-10-23,3.0625
2024-10-22,3.0867
2024-10-21,3.0561
2024-10-18,3.039
2024-10-17,2.8687
2024-10-16,2.8585
2024-10-15,2.9179
2024-10-14,2.9945
2024-10-11,2.9332
2024-10-10,3.0372
2024-10-09,3.0526
2024-10-08,3.2732
2024-09-30,2.9753
2024-09-27,2.6968
2024-09-26,2.5671
2024-09-25,2.4984
2024-09-24,2.5042
2024-09-23,2.3975
2024-09-20,2.4039
2024-09-19,2.4133
2024-09-18,2.4188
2024-09-13,2.4213
2024-09-12,2.4139
2024-09-11,2.4147
2024-09-10,2.3815
2024-09-09,2.3601
2024-09-06,2.3695
2024-09-05,2.4181
2024-09-04,2.406
