date,net_value
2025-10-17,1.9136
2025-10-16,1.9538
2025-10-15,1.9658
2025-10-14,1.9371
2025-10-13,1.9673
2025-10-10,1.9727
2025-10-09,1.9923
2025-09-30,1.9727
2025-09-29,1.966
2025-09-26,1.9475
2025-09-25,1.9621
2025-09-24,1.9597
2025-09-23,1.9335
2025-09-22,1.9373
2025-09-19,1.9305
2025-09-18,1.9301
2025-09-17,1.9498
2025-09-16,1.9394
2025-09-15,1.9286
2025-09-12,1.939
2025-09-11,1.943
2025-09-10,1.8962
2025-09-09,1.8929
2025-09-08,1.9124
2025-09-05,1.9019
2025-09-04,1.8469
2025-09-03,1.8905
2025-09-02,1.9108
2025-09-01,1.9529
2025-08-29,1.9385
2025-08-28,1.9313
2025-08-27,1.8966
2025-08-26,1.9125
2025-08-25,1.9096
2025-08-22,1.88
2025-08-21,1.8578
2025-08-20,1.865
2025-08-19,1.8466
2025-08-18,1.8489
2025-08-15,1.8248
2025-08-14,1.7955
2025-08-13,1.8224
2025-08-12,1.797
2025-08-11,1.7811
2025-08-08,1.7622
2025-08-07,1.7576
2025-08-06,1.7601
2025-08-05,1.7481
2025-08-04,1.7347
2025-08-01,1.7193
2025-07-31,1.7156
2025-07-30,1.7315
2025-07-29,1.735
2025-07-28,1.7207
2025-07-25,1.7051
2025-07-24,1.6997
2025-07-23,1.6945
2025-07-22,1.7008
2025-07-21,1.6883
2025-07-18,1.6746
2025-07-17,1.6762
2025-07-16,1.6575
2025-07-15,1.6547
2025-07-14,1.6425
2025-07-11,1.6337
2025-07-10,1.6251
2025-07-09,1.6235
2025-07-08,1.6299
2025-07-07,1.6078
2025-07-04,1.602
2025-07-03,1.6099
2025-07-02,1.5951
2025-07-01,1.6034
2025-06-30,1.596
2025-06-27,1.5789
2025-06-26,1.5689
2025-06-25,1.5739
2025-06-24,1.5579
2025-06-23,1.5359
2025-06-20,1.5296
2025-06-19,1.5338
2025-06-18,1.55
2025-06-17,1.544
2025-06-16,1.5467
2025-06-13,1.5384
2025-06-12,1.5487
2025-06-11,1.5444
2025-06-10,1.5349
2025-06-09,1.543
2025-06-06,1.5356
