date,net_value
2025-10-15,1.8298
2025-10-14,1.7121
2025-10-13,1.794
2025-10-10,1.8553
2025-10-09,1.9021
2025-09-30,1.9186
2025-09-29,1.9274
2025-09-26,1.8708
2025-09-25,1.9099
2025-09-24,1.9199
2025-09-23,1.8955
2025-09-22,1.9099
2025-09-19,1.8814
2025-09-18,1.953
2025-09-17,1.9785
2025-09-16,1.9137
2025-09-15,1.7829
2025-09-12,1.7628
2025-09-11,1.7811
2025-09-10,1.7192
2025-09-09,1.7398
2025-09-08,1.7458
2025-09-05,1.6703
2025-09-04,1.5971
2025-09-03,1.6524
2025-09-02,1.7018
2025-09-01,1.6331
2025-08-29,1.6383
2025-08-28,1.6131
2025-08-27,1.6323
2025-08-26,1.6591
2025-08-25,1.6948
2025-08-22,1.658
2025-08-21,1.6318
2025-08-20,1.6672
2025-08-19,1.6793
2025-08-18,1.6334
2025-08-15,1.6174
2025-08-14,1.5712
2025-08-13,1.5892
2025-08-12,1.5657
2025-08-11,1.5624
2025-08-08,1.5483
2025-08-07,1.5774
2025-08-06,1.5975
2025-08-05,1.5343
2025-08-04,1.5131
2025-08-01,1.4444
2025-07-31,1.4556
2025-07-30,1.4538
2025-07-29,1.4876
2025-07-28,1.4866
2025-07-25,1.4956
2025-07-24,1.4939
2025-07-23,1.4901
2025-07-22,1.4944
2025-07-21,1.5225
2025-07-18,1.4978
2025-07-17,1.5179
2025-07-16,1.5004
2025-07-15,1.4468
2025-07-14,1.4402
2025-07-11,1.3859
2025-07-10,1.3575
2025-07-09,1.3791
2025-07-08,1.3756
2025-07-07,1.3574
2025-07-04,1.3671
2025-07-03,1.3909
2025-07-02,1.3914
2025-07-01,1.419
2025-06-30,1.4277
2025-06-27,1.4016
2025-06-26,1.4074
2025-06-25,1.4226
2025-06-24,1.4047
2025-06-23,1.3355
2025-06-20,1.3376
2025-06-19,1.3834
2025-06-18,1.4057
2025-06-17,1.3974
2025-06-16,1.411
2025-06-13,1.416
2025-06-12,1.4446
2025-06-11,1.4348
