date,net_value
2025-10-17,2.0262
2025-10-16,2.0965
2025-10-15,2.1182
2025-10-14,2.0785
2025-10-13,2.1106
2025-10-10,2.109
2025-10-09,2.1585
2025-09-30,2.1249
2025-09-29,2.1041
2025-09-26,2.0501
2025-09-25,2.0606
2025-09-24,2.0521
2025-09-23,2.0185
2025-09-22,2.0177
2025-09-19,2.0126
2025-09-18,1.9948
2025-09-17,2.0278
2025-09-16,2.0156
2025-09-15,2.0052
2025-09-12,1.9974
2025-09-11,1.9945
2025-09-10,1.9541
2025-09-09,1.964
2025-09-08,1.9757
2025-09-05,1.944
2025-09-04,1.8643
2025-09-03,1.8897
2025-09-02,1.8773
2025-09-01,1.9093
2025-08-29,1.8973
2025-08-28,1.8908
2025-08-27,1.8678
2025-08-26,1.8887
2025-08-25,1.8736
2025-08-22,1.8429
2025-08-21,1.8416
2025-08-20,1.838
2025-08-19,1.8002
2025-08-18,1.7916
2025-08-15,1.7646
2025-08-14,1.7221
2025-08-13,1.7434
2025-08-12,1.7293
2025-08-11,1.7346
2025-08-08,1.7328
2025-08-07,1.7244
2025-08-06,1.7157
2025-08-05,1.701
2025-08-04,1.6858
2025-08-01,1.6724
2025-07-31,1.6507
2025-07-30,1.6857
2025-07-29,1.6807
2025-07-28,1.6731
2025-07-25,1.6839
2025-07-24,1.6831
2025-07-23,1.6716
2025-07-22,1.6817
2025-07-21,1.6584
2025-07-18,1.6414
2025-07-17,1.6356
2025-07-16,1.6198
2025-07-15,1.621
2025-07-14,1.6272
2025-07-11,1.6226
2025-07-10,1.6255
2025-07-09,1.6212
2025-07-08,1.6365
2025-07-07,1.6209
2025-07-04,1.6296
2025-07-03,1.6349
2025-07-02,1.6237
2025-07-01,1.6197
2025-06-30,1.5998
2025-06-27,1.5867
2025-06-26,1.5724
2025-06-25,1.5719
2025-06-24,1.56
2025-06-23,1.5436
2025-06-20,1.5383
2025-06-19,1.547
2025-06-18,1.5635
2025-06-17,1.5616
2025-06-16,1.5672
2025-06-13,1.569
2025-06-12,1.573
2025-06-11,1.5596
2025-06-10,1.5266
2025-06-09,1.5372
2025-06-06,1.516
2025-06-05,1.5134
2025-06-04,1.5145
2025-06-03,1.5002
2025-05-30,1.4843
2025-05-29,1.4813
2025-05-28,1.4684
2025-05-27,1.4629
2025-05-26,1.4813
2025-05-23,1.4804
2025-05-22,1.4966
2025-05-21,1.5189
2025-05-20,1.5038
2025-05-19,1.4871
2025-05-16,1.4852
2025-05-15,1.4805
2025-05-14,1.5026
2025-05-13,1.4999
2025-05-12,1.5
2025-05-09,1.4879
2025-05-08,1.5015
2025-05-07,1.5061
2025-05-06,1.5032
2025-04-30,1.4815
2025-04-29,1.4688
2025-04-28,1.4593
2025-04-25,1.4685
2025-04-24,1.4611
2025-04-23,1.4723
2025-04-22,1.4642
2025-04-21,1.4684
2025-04-18,1.4415
2025-04-17,1.4343
2025-04-16,1.4354
2025-04-15,1.4567
2025-04-14,1.461
2025-04-11,1.4369
2025-04-10,1.4346
2025-04-09,1.3969
2025-04-08,1.3883
2025-04-07,1.4011
2025-04-03,1.5325
2025-04-02,1.5656
2025-04-01,1.5643
2025-03-31,1.5677
2025-03-28,1.5846
2025-03-27,1.5846
2025-03-26,1.5919
2025-03-25,1.5905
2025-03-24,1.616
2025-03-21,1.6016
2025-03-20,1.6219
2025-03-19,1.6256
2025-03-18,1.6373
2025-03-17,1.633
2025-03-14,1.6307
2025-03-13,1.5995
2025-03-12,1.6192
2025-03-11,1.6206
2025-03-10,1.6223
2025-03-07,1.6289
2025-03-06,1.6306
2025-03-05,1.6083
2025-03-04,1.5859
2025-03-03,1.5721
2025-02-28,1.5581
2025-02-27,1.6061
2025-02-26,1.6116
2025-02-25,1.5996
2025-02-24,1.6155
2025-02-21,1.6162
2025-02-20,1.5856
2025-02-19,1.5885
