date,net_value
2025-10-09,3.6468
2025-09-30,3.6115
2025-09-29,3.5563
2025-09-26,3.5007
2025-09-25,3.5262
2025-09-24,3.547
2025-09-23,3.5505
2025-09-22,3.5775
2025-09-19,3.5655
2025-09-18,3.5527
2025-09-17,3.566
2025-09-16,3.5534
2025-09-15,3.5669
2025-09-12,3.5913
2025-09-11,3.5826
2025-09-10,3.5677
2025-09-09,3.5809
2025-09-08,3.5555
2025-09-05,3.5472
2025-09-04,3.4612
2025-09-03,3.5178
2025-09-02,3.4893
2025-09-01,3.5138
2025-08-29,3.5151
2025-08-28,3.4942
2025-08-27,3.4883
2025-08-26,3.5459
2025-08-25,3.517
2025-08-22,3.4928
2025-08-21,3.488
2025-08-20,3.4843
2025-08-19,3.4252
2025-08-18,3.4482
2025-08-15,3.4159
2025-08-14,3.3769
2025-08-13,3.3802
2025-08-12,3.3244
2025-08-11,3.3257
2025-08-08,3.349
2025-08-07,3.3455
2025-08-06,3.3302
2025-08-05,3.3077
2025-08-04,3.2594
2025-08-01,3.1914
2025-07-31,3.2449
2025-07-30,3.3046
2025-07-29,3.335
2025-07-28,3.2916
2025-07-25,3.2632
2025-07-24,3.3018
2025-07-23,3.27
2025-07-22,3.2917
2025-07-21,3.29
2025-07-18,3.284
2025-07-17,3.2609
2025-07-16,3.2366
2025-07-15,3.2401
2025-07-14,3.216
2025-07-11,3.1884
2025-07-10,3.2121
2025-07-09,3.214
2025-07-08,3.232
2025-07-07,3.185
2025-07-04,3.175
2025-07-03,3.184
2025-07-02,3.179
2025-07-01,3.184
2025-06-30,3.187
2025-06-27,3.138
2025-06-26,3.14
2025-06-25,3.139
2025-06-24,3.13
2025-06-23,3.091
2025-06-20,3.062
2025-06-19,3.056
2025-06-18,3.142
2025-06-17,3.133
2025-06-16,3.198
2025-06-13,3.192
2025-06-12,3.182
2025-06-11,3.164
2025-06-10,3.144
2025-06-09,3.125
2025-06-06,3.086
2025-06-05,3.08
2025-06-04,3.128
2025-06-03,3.086
2025-05-30,3.027
2025-05-29,3.052
2025-05-28,3.006
2025-05-27,3.018
2025-05-26,3.0
2025-05-23,3.041
2025-05-22,3.035
2025-05-21,3.041
2025-05-20,2.985
2025-05-19,2.93
2025-05-16,2.902
2025-05-15,2.912
2025-05-14,2.915
2025-05-13,2.887
2025-05-12,2.873
2025-05-09,2.885
2025-05-08,2.866
2025-05-07,2.871
2025-05-06,2.903
2025-04-30,2.865
2025-04-29,2.878
2025-04-28,2.833
2025-04-25,2.804
2025-04-24,2.832
2025-04-23,2.812
2025-04-22,2.797
2025-04-21,2.717
2025-04-18,2.715
2025-04-17,2.717
2025-04-16,2.706
2025-04-15,2.738
2025-04-14,2.721
2025-04-11,2.617
2025-04-10,2.577
2025-04-09,2.501
2025-04-08,2.465
2025-04-07,2.412
2025-04-03,2.748
2025-04-02,2.775
2025-04-01,2.801
2025-03-31,2.733
2025-03-28,2.743
2025-03-27,2.75
2025-03-26,2.694
2025-03-25,2.65
2025-03-24,2.722
2025-03-21,2.696
2025-03-20,2.752
2025-03-19,2.783
2025-03-18,2.78
2025-03-17,2.731
2025-03-14,2.704
2025-03-13,2.652
2025-03-12,2.674
2025-03-11,2.68
2025-03-10,2.62
2025-03-07,2.632
2025-03-06,2.65
2025-03-05,2.598
2025-03-04,2.527
2025-03-03,2.526
2025-02-28,2.498
2025-02-27,2.585
2025-02-26,2.587
2025-02-25,2.53
2025-02-24,2.577
2025-02-21,2.597
2025-02-20,2.52
2025-02-19,2.533
2025-02-18,2.536
2025-02-17,2.495
2025-02-14,2.511
2025-02-13,2.429
2025-02-12,2.461
2025-02-11,2.426
2025-02-10,2.445
2025-02-07,2.421
2025-02-06,2.391
2025-02-05,2.365
2025-01-27,2.353
2025-01-24,2.329
2025-01-23,2.292
2025-01-22,2.303
2025-01-21,2.315
2025-01-20,2.294
2025-01-17,2.271
2025-01-16,2.258
2025-01-15,2.24
2025-01-14,2.249
2025-01-13,2.219
2025-01-10,2.234
2025-01-09,2.252
2025-01-08,2.245
2025-01-07,2.266
2025-01-06,2.285
2025-01-03,2.295
2025-01-02,2.303
2024-12-31,2.337
2024-12-30,2.325
2024-12-27,2.32
2024-12-26,2.319
2024-12-25,2.318
2024-12-24,2.317
2024-12-23,2.311
2024-12-20,2.309
2024-12-19,2.327
2024-12-18,2.334
2024-12-17,2.31
2024-12-16,2.322
2024-12-13,2.345
