date,net_value
2025-10-16,2.1276
2025-10-15,2.1234
2025-10-14,2.0734
2025-10-13,2.0777
2025-10-10,2.0879
2025-10-09,2.0873
2025-09-30,2.0527
2025-09-29,2.0378
2025-09-26,1.9951
2025-09-25,1.9893
2025-09-24,1.9908
2025-09-23,1.9873
2025-09-22,1.9901
2025-09-19,2.0032
2025-09-18,1.984
2025-09-17,2.0175
2025-09-16,2.012
2025-09-15,2.0307
2025-09-12,2.0477
2025-09-11,2.0438
2025-09-10,2.0325
2025-09-09,2.0355
2025-09-08,2.0132
2025-09-05,2.0086
2025-09-04,1.9777
2025-09-03,2.0174
2025-09-02,2.0245
2025-09-01,2.0313
2025-08-29,1.9988
2025-08-28,1.9821
2025-08-27,1.9706
2025-08-26,2.0065
2025-08-25,2.0022
2025-08-22,1.9669
2025-08-21,1.96
2025-08-20,1.9521
2025-08-19,1.9298
2025-08-18,1.9504
2025-08-15,1.9528
2025-08-14,1.9262
2025-08-13,1.9139
2025-08-12,1.8966
2025-08-11,1.8792
2025-08-08,1.8899
2025-08-07,1.884
2025-08-06,1.873
2025-08-05,1.8648
2025-08-04,1.8487
2025-08-01,1.8335
2025-07-31,1.8528
2025-07-30,1.9029
2025-07-29,1.8915
2025-07-28,1.8937
2025-07-25,1.8865
2025-07-24,1.8949
2025-07-23,1.8873
2025-07-22,1.8847
2025-07-21,1.8438
2025-07-18,1.7998
2025-07-17,1.7726
2025-07-16,1.7774
2025-07-15,1.7857
2025-07-14,1.793
2025-07-11,1.7758
2025-07-10,1.766
2025-07-09,1.7475
2025-07-08,1.774
2025-07-07,1.7599
2025-07-04,1.7722
2025-07-03,1.7729
2025-07-02,1.7669
2025-07-01,1.7479
2025-06-30,1.7382
2025-06-27,1.7493
2025-06-26,1.7553
2025-06-25,1.7515
2025-06-24,1.7215
2025-06-23,1.6939
2025-06-20,1.6829
2025-06-19,1.6637
2025-06-18,1.6994
2025-06-17,1.706
2025-06-16,1.7068
2025-06-13,1.708
2025-06-12,1.7115
2025-06-11,1.702
2025-06-10,1.6768
2025-06-09,1.6659
2025-06-06,1.66
2025-06-05,1.6545
2025-06-04,1.65
2025-06-03,1.6377
2025-05-30,1.6234
2025-05-29,1.6329
2025-05-28,1.6265
2025-05-27,1.6203
2025-05-26,1.6295
2025-05-23,1.6291
2025-05-22,1.6299
2025-05-21,1.6358
2025-05-20,1.6112
2025-05-19,1.6011
2025-05-16,1.6045
2025-05-15,1.6104
2025-05-14,1.6338
2025-05-13,1.6069
2025-05-12,1.6098
2025-05-09,1.5911
2025-05-08,1.5965
2025-05-07,1.5968
2025-05-06,1.5828
2025-04-30,1.554
2025-04-29,1.5625
2025-04-28,1.5662
2025-04-25,1.5807
2025-04-24,1.5899
2025-04-23,1.5952
2025-04-22,1.6041
2025-04-21,1.5929
2025-04-18,1.5801
2025-04-17,1.579
2025-04-16,1.5727
2025-04-15,1.5724
2025-04-14,1.5723
2025-04-11,1.5489
2025-04-10,1.5289
2025-04-09,1.5042
2025-04-08,1.4761
2025-04-07,1.4438
2025-04-03,1.6007
2025-04-02,1.6173
2025-04-01,1.6117
2025-03-31,1.6095
2025-03-28,1.6198
2025-03-27,1.6158
2025-03-26,1.6127
2025-03-25,1.6183
2025-03-24,1.6321
2025-03-21,1.6268
2025-03-20,1.647
2025-03-19,1.6778
2025-03-18,1.6704
2025-03-17,1.6582
2025-03-14,1.6537
2025-03-13,1.5917
2025-03-12,1.5945
2025-03-11,1.5913
2025-03-10,1.5934
2025-03-07,1.5938
2025-03-06,1.5911
2025-03-05,1.5713
2025-03-04,1.5375
2025-03-03,1.5324
2025-02-28,1.5214
2025-02-27,1.5594
2025-02-26,1.5541
2025-02-25,1.5331
2025-02-24,1.5581
2025-02-21,1.5395
2025-02-20,1.5379
2025-02-19,1.544
2025-02-18,1.5371
2025-02-17,1.5379
2025-02-14,1.5561
2025-02-13,1.5382
2025-02-12,1.5487
2025-02-11,1.5383
2025-02-10,1.5476
2025-02-07,1.5369
2025-02-06,1.5188
2025-02-05,1.5136
2025-01-27,1.5204
2025-01-24,1.5121
2025-01-23,1.497
2025-01-22,1.4934
2025-01-21,1.5048
2025-01-20,1.5008
2025-01-17,1.5047
2025-01-16,1.4944
2025-01-15,1.4784
2025-01-14,1.4943
2025-01-13,1.4636
2025-01-10,1.4662
2025-01-09,1.4791
2025-01-08,1.4821
2025-01-07,1.4787
2025-01-06,1.4716
2025-01-03,1.4732
2025-01-02,1.4724
2024-12-31,1.5018
2024-12-30,1.5039
2024-12-27,1.4973
2024-12-26,1.5031
2024-12-25,1.5046
2024-12-24,1.5049
2024-12-23,1.4913
2024-12-20,1.4717
2024-12-19,1.4931
2024-12-18,1.4963
2024-12-17,1.4917
2024-12-16,1.4943
2024-12-13,1.5161
2024-12-12,1.5557
2024-12-11,1.5479
2024-12-10,1.5474
2024-12-09,1.5563
2024-12-06,1.5275
2024-12-05,1.5125
2024-12-04,1.523
2024-12-03,1.5282
2024-12-02,1.5167
2024-11-29,1.5095
2024-11-28,1.4944
2024-11-27,1.5091
2024-11-26,1.485
2024-11-25,1.4977
2024-11-22,1.5043
2024-11-21,1.5481
2024-11-20,1.5442
2024-11-19,1.5377
2024-11-18,1.5238
2024-11-15,1.5142
2024-11-14,1.5164
2024-11-13,1.5406
2024-11-12,1.538
2024-11-11,1.5754
2024-11-08,1.6003
2024-11-07,1.6304
2024-11-06,1.5844
