date,net_value
2025-10-15,2.7028
2025-10-14,2.6577
2025-10-13,2.7704
2025-10-10,2.8054
2025-10-09,2.8758
2025-09-30,2.8563
2025-09-29,2.8635
2025-09-26,2.7932
2025-09-25,2.8496
2025-09-24,2.8157
2025-09-23,2.8201
2025-09-22,2.7987
2025-09-19,2.7729
2025-09-18,2.76
2025-09-17,2.7531
2025-09-16,2.7441
2025-09-15,2.7245
2025-09-12,2.7448
2025-09-11,2.758
2025-09-10,2.6237
2025-09-09,2.5796
2025-09-08,2.6095
2025-09-05,2.645
2025-09-04,2.5262
2025-09-03,2.685
2025-09-02,2.66
2025-09-01,2.7352
2025-08-29,2.6381
2025-08-28,2.602
2025-08-27,2.4844
2025-08-26,2.4674
2025-08-25,2.4801
2025-08-22,2.388
2025-08-21,2.3383
2025-08-20,2.342
2025-08-19,2.3282
2025-08-18,2.2923
2025-08-15,2.2653
2025-08-14,2.2415
2025-08-13,2.278
2025-08-12,2.1918
2025-08-11,2.1516
2025-08-08,2.1325
2025-08-07,2.1363
2025-08-06,2.1387
2025-08-05,2.1242
2025-08-04,2.1069
2025-08-01,2.0958
2025-07-31,2.1183
2025-07-30,2.1293
2025-07-29,2.1222
2025-07-28,2.0741
2025-07-25,2.0471
2025-07-24,2.0431
2025-07-23,2.0284
2025-07-22,2.0302
2025-07-21,2.0179
2025-07-18,2.0059
2025-07-17,1.9966
2025-07-16,1.9595
2025-07-15,1.9562
2025-07-14,1.8987
2025-07-11,1.8964
2025-07-10,1.8903
2025-07-09,1.8834
2025-07-08,1.8882
2025-07-07,1.8483
2025-07-04,1.8632
2025-07-03,1.8657
2025-07-02,1.8501
2025-07-01,1.8673
2025-06-30,1.8643
2025-06-27,1.8391
2025-06-26,1.8266
2025-06-25,1.8273
2025-06-24,1.8043
2025-06-23,1.7769
2025-06-20,1.7819
2025-06-19,1.7969
2025-06-18,1.8068
2025-06-17,1.7965
2025-06-16,1.799
2025-06-13,1.7922
2025-06-12,1.8034
2025-06-11,1.7923
2025-06-10,1.778
2025-06-09,1.7919
2025-06-06,1.7807
2025-06-05,1.7727
2025-06-04,1.7502
2025-06-03,1.7349
2025-05-30,1.7269
2025-05-29,1.7364
2025-05-28,1.7187
2025-05-27,1.712
2025-05-26,1.7276
2025-05-23,1.7289
2025-05-22,1.7448
2025-05-21,1.7523
2025-05-20,1.7512
2025-05-19,1.7397
2025-05-16,1.7487
2025-05-15,1.7473
2025-05-14,1.7726
2025-05-13,1.7597
2025-05-12,1.7609
2025-05-09,1.7402
2025-05-08,1.7564
2025-05-07,1.7561
2025-05-06,1.7611
2025-04-30,1.7392
2025-04-29,1.7206
2025-04-28,1.71
2025-04-25,1.709
2025-04-24,1.706
2025-04-23,1.7166
2025-04-22,1.7052
2025-04-21,1.7161
2025-04-18,1.6962
2025-04-17,1.7011
2025-04-16,1.6922
2025-04-15,1.7021
2025-04-14,1.7109
2025-04-11,1.7037
2025-04-10,1.6838
2025-04-09,1.6611
2025-04-08,1.635
